"country_area","year","value"
"Estonia","2000","15141.3877177023"
"Estonia","1999","15518.4906207187"
"Estonia","1998","16684.3031468739"
"Estonia","1997","18223.6042706384"
"Estonia","1996","18666.1359705806"
"Estonia","1995","17953.7359736926"
"Estonia","1994","19626.4459432317"
"Estonia","1993","18810.9639158495"
"Estonia","1992","24187.827575953"
"Estonia","1991","33662.372514403"
"Estonia","1990","36666.0272974484"
"European Union","2014","3463397.56376209"
"European Union","2013","3646389.52530377"
"European Union","2012","3728965.03097874"
"European Union","2011","3789763.64094378"
"European Union","2010","3933290.52224844"
"European Union","2009","3814305.25795781"
"European Union","2008","4149624.29618927"
"European Union","2007","4244213.12941646"
"European Union","2006","4297988.16195699"
"European Union","2005","4290586.66799942"
"European Union","2004","4314560.87112777"
"European Union","2003","4306103.94478558"
"European Union","2002","4208860.12268355"
"European Union","2001","4232036.86327499"
"European Union","2000","4165145.4407136"
"European Union","1999","4139002.99479822"
"European Union","1998","4207666.03163804"
"European Union","1997","4216524.73281421"
"European Union","1996","4304793.28338046"
"European Union","1995","4204480.85553967"
"European Union","1994","4161321.31739286"
"European Union","1993","4177106.50927114"
"European Union","1992","4259922.81188982"
"European Union","1991","4403723.16147676"
"European Union","1990","4462205.14458363"
"Finland","2014","47597.7335272535"
"Finland","2013","51834.6967381541"
"Finland","2012","50983.2728750769"
"Finland","2011","56478.7455886964"
"Finland","2010","63828.0182275297"
"Finland","2009","55635.5827690138"
"Finland","2008","58461.6330236854"
"Finland","2007","66531.7208142561"
"Finland","2006","68201.9059970754"
"Finland","2005","56912.3148929823"
"Finland","2004","68821.8128908428"
"Finland","2003","72522.5901920366"
"Finland","2002","64946.4682059915"
"Finland","2001","62442.6400686017"
"Finland","2000","56973.3505273429"
"Finland","1999","58872.9308028447"
"Finland","1998","59351.4981462986"
"Finland","1997","62698.0867925088"
"Finland","1996","64038.9222021128"
"Finland","1995","58126.247543133"
"Finland","1994","61696.3853292446"
"Finland","1993","56333.26799423"
"Finland","1992","54264.3793101323"
"Finland","1991","55187.1794528947"
"Finland","1990","56950.8481820202"
"France","2014","341152.531504158"
"France","2013","369985.594525824"
"France","2012","370491.153703148"
"France","2011","368183.438441815"
"France","2010","394235.674136659"
"France","2009","383957.624293905"
"France","2008","401878.86465183"
"France","2007","408508.589897444"
"France","2006","417662.678913825"
"France","2005","428557.610248936"
"France","2004","423168.636085445"
"France","2003","422312.884466797"
"France","2002","413569.247853298"
"France","2001","417864.70558616"
"France","2000","417116.544673865"
"France","1999","420506.321957388"
"France","1998","429051.499923046"
"France","1997","407475.111806521"
"France","1996","414013.070054113"
"France","1995","401571.225451732"
"France","1994","394536.962436592"
"France","1993","394334.83380057"
"France","1992","414955.076785321"
"France","1991","425042.920702848"
"France","1990","400652.624020681"
"Germany","2014","792902.788025434"
"Germany","2013","835792.632256705"
"Germany","2012","817031.440197659"
"Germany","2011","812483.219621071"
"Germany","2010","832259.203309583"
"Germany","2009","788422.437923384"
"Germany","2008","853229.940752254"
"Germany","2007","850795.7207597"
"Germany","2006","877422.45689212"
"Germany","2005","865958.513395873"
"Germany","2004","886344.629703686"
"Germany","2003","900377.585440517"
"Germany","2002","899161.567421003"
"Germany","2001","915634.439635279"
"Germany","2000","899284.993390718"
"Germany","1999","895336.786172859"
"Germany","1998","922778.540047935"
"Germany","1997","930768.560542915"
"Germany","1996","958368.724698229"
"Germany","1995","938148.0930919"
"Germany","1994","939207.328236553"
"Germany","1993","955977.599356065"
"Germany","1992","965790.835271489"
"Germany","1991","1014119.71977239"
"Germany","1990","1052238.2340002"
"Greece","2014","79628.2743994757"
"Greece","2013","82910.6259583055"
"Greece","2012","90710.5742463723"
"Greece","2011","94102.9439816174"
"Greece","2010","97035.0827603655"
"Greece","2009","103969.78429385"
"Greece","2008","110255.765521907"
"Greece","2007","114127.554270902"
"Greece","2006","111777.743714104"
"Greece","2005","113219.822395958"
"Greece","2004","109571.060909579"
"Greece","2003","109126.567554916"
"Greece","2002","105051.466199101"
"Greece","2001","105407.307598309"
"Greece","2000","103019.664690088"
"Greece","1999","97979.7783523224"
"Greece","1998","98663.1941625214"
"Greece","1997","93839.8699189575"
"Greece","1996","89134.4253965711"
"Greece","1995","86980.6457725937"
"Greece","1994","86425.8565118787"
"Greece","1993","84263.0078976228"
"Greece","1992","84949.0258298748"
"Greece","1991","83390.3546805713"
"Greece","1990","83403.7199982216"
"Hungary","2014","43573.4088387418"
"Hungary","2013","43930.8781767816"
"Hungary","2012","46774.9448452999"
"Hungary","2011","50272.8651021622"
"Hungary","2010","52108.8927624657"
"Hungary","2009","51630.6900244073"
"Hungary","2008","57325.1623293437"
"Hungary","2007","58419.0391671472"
"Hungary","2006","59751.7310814697"
"Hungary","2005","60329.5050120849"
"Hungary","2004","60231.6619844867"
"Hungary","2003","61766.839595491"
"Hungary","2002","58968.2277702584"
"Hungary","2001","59995.7344751382"
"Hungary","2000","58336.8070649933"
"Hungary","1999","61593.1410164197"
"Hungary","1998","61087.7637948753"
"Hungary","1997","61549.9124641614"
"Hungary","1996","62950.2532137021"
"Hungary","1995","61354.4620207158"
"Hungary","1994","61568.3745934751"
"Hungary","1993","63174.9783732307"
"Hungary","1992","62050.1263972833"
"Hungary","1991","69392.7256389081"
"Hungary","1990","73115.1986276439"
"Iceland","2014","3272.20823296511"
"Iceland","2013","3301.79631376577"
"Iceland","2012","3290.57643132926"
"Iceland","2011","3298.56768958589"
"Iceland","2010","3383.55221868805"
"Iceland","2009","3521.8907096149"
"Iceland","2008","3567.20925966227"
"Iceland","2007","3236.89533653359"
"Iceland","2006","2939.27659673656"
"Iceland","2005","2797.31459197845"
"Iceland","2004","2837.02901057771"
"Iceland","2003","2792.72313185368"
"Iceland","2002","2795.90731167373"
"Iceland","2001","2710.29472706565"
"Iceland","2000","2728.93748510151"
"Iceland","1999","2655.39472544564"
"Iceland","1998","2450.23426342854"
"Iceland","1997","2450.24391979067"
"Iceland","1996","2385.91382557077"
"Iceland","1995","2299.61365454463"
"Iceland","1994","2248.36895252634"
"Iceland","1993","2294.50464413142"
"Iceland","1992","2172.61936326312"
"Iceland","1991","2042.93697601045"
"Iceland","1990","2106.02606837613"
"Ireland","2014","36559.0685812916"
"Ireland","2013","37049.4238313976"
"Ireland","2012","38031.6187161936"
"Ireland","2011","37895.1954270366"
"Ireland","2010","41558.2750861697"
"Ireland","2009","41996.3246778451"
"Ireland","2008","47175.5402654915"
"Ireland","2007","47493.1266838399"
"Ireland","2006","47405.9667288105"
"Ireland","2005","47952.2043880837"
"Ireland","2004","46042.4022484132"
"Ireland","2003","45554.322521515"
"Ireland","2002","45952.7301698154"
"Ireland","2001","47482.7207784323"
"Ireland","2000","45123.3354422644"
"Ireland","1999","42302.0878630807"
"Ireland","1998","40572.1758596239"
"Ireland","1997","38675.594023595"
"Ireland","1996","37335.1081070614"
"Ireland","1995","35718.7485642434"
"Ireland","1994","34696.485727221"
"Ireland","1993","33574.9717415815"
"Ireland","1992","33344.1023763207"
"Ireland","1991","33508.44202382"
"Ireland","1990","32768.5267614461"
"Italy","2014","342826.677130676"
"Italy","2013","362063.649296268"
"Italy","2012","389340.763399181"
"Italy","2011","416499.534208263"
"Italy","2010","428879.681194381"
"Italy","2009","418881.076903293"
"Italy","2008","467933.59324447"
"Italy","2007","478237.711240526"
"Italy","2006","486594.066569872"
"Italy","2005","490914.262890322"
"Italy","2004","492746.255602992"
"Italy","2003","489595.50811926"
"Italy","2002","473504.059244666"
"Italy","2001","471124.276709558"
"Italy","2000","465175.073350703"
"Italy","1999","459840.64226897"
"Italy","1998","454967.633181096"
"Italy","1997","444055.433535223"
"Italy","1996","440235.507200098"
"Italy","1995","447201.168755567"
"Italy","1994","421404.099922133"
"Italy","1993","429158.009174904"
"Italy","1992","435535.835117712"
"Italy","1991","435938.613895185"
"Italy","1990","436204.249867101"
"Japan","2014","1265490.60931631"
"Japan","2013","1311509.14921749"
"Japan","2012","1296186.35836425"
"Japan","2011","1261862.93795353"
"Japan","2010","1212970.22514141"
"Japan","2009","1162606.19176432"
"Japan","2008","1235455.81022118"
"Japan","2007","1319799.19357988"
"Japan","2006","1285177.83728116"
"Japan","2005","1305938.82350271"
"Japan","2004","1298433.88847959"
"Japan","2003","1299490.60851261"
"Japan","2002","1294399.19841025"
"Japan","2001","1257384.56001844"
"Japan","2000","1274297.98807522"
"Japan","1999","1253082.14716425"
"Japan","1998","1218257.76164334"
"Japan","1997","1253057.30667741"
"Japan","1996","1255264.19757618"
"Japan","1995","1242494.02197198"
"Japan","1994","1228936.69128837"
"Japan","1993","1167714.71812869"
"Japan","1992","1174619.00608734"
"Japan","1991","1164474.34578731"
"Japan","1990","1155993.61991868"
"Latvia","2014","7158.71803669862"
"Latvia","2013","7353.22044369415"
"Latvia","2012","7521.1225279261"
"Latvia","2011","7807.65940956673"
"Latvia","2010","8524.08722660934"
"Latvia","2009","7443.28601054364"
"Latvia","2008","8184.97124654311"
"Latvia","2007","8610.25539674785"
"Latvia","2006","8289.2066784209"
"Latvia","2005","7790.40393195636"
"Latvia","2004","7709.46076182043"
"Latvia","2003","7703.77150791307"
"Latvia","2002","7508.74324201186"
"Latvia","2001","7480.50260667025"
"Latvia","2000","7069.94204019894"
"Latvia","1999","7709.04999256645"
"Latvia","1998","8300.59527801083"
"Latvia","1997","8677.54581083478"
"Latvia","1996","9216.3839879477"
"Latvia","1995","9141.35351650325"
"Latvia","1994","10399.1411291737"
"Latvia","1993","11966.1455063059"
"Latvia","1992","14244.6533850411"
"Latvia","1991","18021.1952417204"
"Latvia","1990","19794.2944546485"
"Liechtenstein","2014","161.541816662752"
"Liechtenstein","2013","192.864415788715"
"Liechtenstein","2012","185.63243136026"
"Liechtenstein","2011","177.088040245414"
"Liechtenstein","2010","191.047501716787"
"Liechtenstein","2009","205.590543733379"
